Year,CO2 Emissions (MtCO2),Temperature Anomalies (°C)
1934,32.539,-.12
1935,35.91,-.20
1936,39.016,-.15
1937,41.844,-.03
1938,44.013,.00
1939,46.853,-.02
1940,49.649,.12
1941,54.023,.19
1942,58.823,.07
1943,60.12,.09
1944,66.633,.20
1945,67.527,.09
1946,68.159,-.07
1947,67.935,-.03
1948,71.733,-.11
1949,77.324,-.11
1950,94.868,-.17
1951,101.125,-.07
1952,110.325,.01
1953,112.007,.08
1954,117.536,-.13
1955,129.402,-.14
1956,135.106,-.19
1957,141.593,.05
1958,148.671,.06
1959,147.841,.03
1960,156.567,-.03
1961,161.994,.06
1962,166.335,.03
1963,176.335,.05
1964,193.639,-.20
1965,213.634,-.11
1966,221.082,-.06
1967,237.045,-.02
1968,257.384,-.08
1969,277.916,.05
1970,302.624,.03
1971,331.861,-.08
1972,351.871,.01
1973,378.003,.16
1974,388.39,-.07
1975,387.265,-.01
1976,420.141,-.10
1977,433.115,.18
1978,462.487,.07
1979,499.061,.16
1980,535.678,.26
1981,548.571,.32
1982,571.727,.14
1983,594.561,.31
1984,649.325,.16
1985,665.686,.12
1986,689.698,.18
1987,689.703,.32
1988,724.697,.39
1989,697.797,.27
1990,658.281,.45
1991,687.829,.40
1992,666.901,.22
1993,706.661,.23
1994,790.281,.31
1995,844.557,.44
1996,872.321,.33
1997,893.989,.46
1998,912.442,.61
1999,899.677,.38
2000,930.043,.39
2001,919.543,.53
2002,899.274,.63
2003,988.565,.62
2004,1044.867,.53
2005,1063.18,.68
2006,1092.166,.64
2007,1122.721,.66
2008,1175.62,.54
2009,1173.163,.66
2010,1215.374,.73
2011,1255.084,.61
2012,1255.852,.65
2013,1265.47,.68
2014,1344.915,.75
2015,1319.787,.90
2016,1355.494,1.02
2017,1369.71,.92
2018,1357.075,.85
2019,1457.568,.98
2020,1356.436,1.02
2021,1435.214,.85
2022,1416.627,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.022,-.28
1885,0.037,-.33
1886,0.048,-.31
1887,0.048,-.36
1888,0.081,-.17
1889,0.132,-.11
1890,0.297,-.35
1891,0.297,-.23
1892,0.48,-.28
1893,1.799,-.31
1894,2.433,-.30
1895,3.338,-.23
1896,4.258,-.12
1897,4.778,-.11
1898,6.049,-.28
1899,5.518,-.18
1900,2.33,-.09
1901,3.909,-.16
1902,5.826,-.28
1903,7.896,-.37
1904,8.911,-.48
1905,10.263,-.27
1906,11.717,-.23
1907,12.93,-.39
1908,13.403,-.43
1909,15.385,-.49
1910,17.411,-.44
1911,16.865,-.45
1912,17.954,-.37
1913,19.606,-.35
1914,19.551,-.16
1915,19.606,-.14
1916,23.255,-.36
1917,25.344,-.46
1918,24.725,-.30
1919,25.443,-.28
1920,28.052,-.28
1921,27.986,-.19
1922,23.97,-.28
1923,29.045,-.27
1924,30.631,-.27
1925,32.185,-.22
1926,34.438,-.11
1927,33.841,-.22
1928,34.77,-.20
1929,35.802,-.36
1930,33.696,-.16
1931,29.464,-.09
1932,26.623,-.16
1933,28.491,-.29
1934,32.539,-.12
1935,35.91,-.20
1936,39.016,-.15
1937,41.844,-.03
1938,44.013,.00
1939,46.853,-.02
1940,49.649,.12
1941,54.023,.19
1942,58.823,.07
1943,60.12,.09
1944,66.633,.20
1945,67.527,.09
1946,68.159,-.07
1947,67.935,-.03
1948,71.733,-.11
1949,77.324,-.11
1950,94.868,-.17
1951,101.125,-.07
1952,110.325,.01
1953,112.007,.08
1954,117.536,-.13
1955,129.402,-.14
1956,135.106,-.19
1957,141.593,.05
1958,148.671,.06
1959,147.841,.03
1960,156.567,-.03
1961,161.994,.06
1962,166.335,.03
1963,176.335,.05
1964,193.639,-.20
1965,213.634,-.11
1966,221.082,-.06
1967,237.045,-.02
1968,257.38,-.08
1969,277.916,.05
1970,302.624,.03
1971,331.861,-.08
1972,351.871,.01
1973,378.003,.16
1974,388.39,-.07
1975,387.265,-.01
1976,420.141,-.10
1977,433.115,.18
1978,462.487,.07
1979,499.061,.16
1980,535.678,.26
1981,548.563,.32
1982,571.724,.14
1983,594.557,.31
1984,649.321,.16
1985,665.683,.12
1986,689.694,.18
1987,689.7,.32
1988,724.689,.39
1989,697.789,.27
1990,658.274,.45
1991,687.822,.40
1992,666.894,.22
1993,706.651,.23
1994,790.27,.31
1995,844.546,.44
1996,872.31,.33
1997,893.978,.46
1998,912.431,.61
1999,899.667,.38
2000,930.032,.39
2001,919.532,.53
2002,899.263,.63
2003,988.554,.62
2004,1044.856,.53
2005,1063.169,.68
2006,1092.155,.64
2007,1122.71,.66
2008,1175.609,.54
2009,1173.152,.66
2010,1215.363,.73
2011,1255.073,.61
2012,1255.84,.65
2013,1265.459,.68
2014,1344.904,.75
2015,1319.776,.90
2016,1355.479,1.02
2017,1369.699,.92
2018,1357.064,.85
2019,1457.553,.98
2020,1356.417,1.02
2021,1435.196,.85
2022,1416.609,.90
1933,0.007,-.29
1934,0.007,-.12
1935,0.018,-.20
1936,0.128,-.15
1937,0.297,-.03
1938,0.348,.00
1939,0.432,-.02
1940,0.692,.12
1941,0.626,.19
1942,0.744,.07
1943,0.462,.09
1944,0.154,.20
1945,0.121,.09
1946,0.484,-.07
1947,0.927,-.03
1948,0.703,-.11
1949,1.015,-.11
1950,0.297,-.17
1951,0.403,-.07
1952,0.374,.01
1953,0.414,.08
1954,0.502,-.13
1955,0.663,-.14
1956,0.839,-.19
1957,1.506,.05
1958,1.201,.06
1959,1.443,.03
1960,2.022,-.03
1961,2.279,.06
1962,2.462,.03
1963,2.081,.05
1964,2.015,-.20
1965,2.172,-.11
1966,2.55,-.06
1967,2.677,-.02
1968,3.069,-.08
1969,3.241,.05
1970,3.739,.03
1971,4.348,-.08
1972,5.638,.01
1973,5.286,.16
1974,4.342,-.07
1975,4.591,-.01
1976,4.947,-.10
1977,5.717,.18
1978,6.491,.07
1979,7.584,.16
1980,5.171,.26
1981,7.34,.32
1982,7.308,.14
1983,7.631,.31
1984,7.826,.16
1985,7.882,.12
1986,8.058,.18
1987,7.447,.32
1988,7.329,.39
1989,8.986,.27
1990,5.521,.45
1991,4.29,.40
1992,2.517,.22
1993,2.338,.23
1994,1.924,.31
1995,2.089,.44
1996,2.018,.33
1997,1.543,.46
1998,1.755,.61
1999,2.986,.38
2000,3.025,.39
2001,3.221,.53
2002,3.748,.63
2003,4.303,.62
2004,4.177,.53
2005,4.261,.68
2006,3.911,.64
2007,3.949,.66
2008,4.397,.54
2009,4.407,.66
2010,4.784,.73
2011,5.315,.61
2012,4.85,.65
2013,5.287,.68
2014,6.0,.75
2015,4.712,.90
2016,4.632,1.02
2017,5.293,.92
2018,4.895,.85
2019,4.827,.98
2020,5.019,1.02
2021,4.904,.85
2022,4.955,.90
1916,0.004,-.36
1917,0.007,-.46
1918,0.018,-.30
1919,0.018,-.28
1920,0.022,-.28
1921,0.026,-.19
1922,0.026,-.28
1923,0.015,-.27
1924,0.029,-.27
1925,0.033,-.22
1926,0.04,-.11
1927,0.059,-.22
1928,0.073,-.20
1929,0.08,-.36
1930,0.084,-.16
1931,0.099,-.09
1932,0.113,-.16
1933,0.121,-.29
1934,0.139,-.12
1935,0.132,-.20
1936,0.051,-.15
1937,0.069,-.03
1938,0.033,.00
1939,0.161,-.02
1940,0.238,.12
1941,0.311,.19
1942,0.498,.07
1943,0.469,.09
1944,0.498,.20
1945,0.615,.09
1946,0.762,-.07
1947,0.743,-.03
1948,0.802,-.11
1949,0.908,-.11
1950,3.784,-.17
1951,4.131,-.07
1952,3.889,.01
1953,3.999,.08
1954,4.152,-.13
1955,4.607,-.14
1956,4.995,-.19
1957,5.537,.05
1958,5.214,.06
1959,5.657,.03
1960,6.151,-.03
1961,6.056,.06
1962,5.661,.03
1963,5.419,.05
1964,5.643,-.20
1965,6.589,-.11
1966,8.421,-.06
1967,8.432,-.02
1968,9.05,-.08
1969,11.263,.05
1970,15.059,.03
1971,18.65,-.08
1972,28.323,.01
1973,38.277,.16
1974,31.877,-.07
1975,32.001,-.01
1976,39.131,-.10
1977,41.845,.18
1978,62.455,.07
1979,45.546,.16
1980,66.416,.26
1981,46.342,.32
1982,39.173,.14
1983,52.504,.31
1984,70.947,.16
1985,72.609,.12
1986,76.08,.18
1987,83.883,.32
1988,83.708,.39
1989,79.808,.27
1990,76.738,.45
1991,78.807,.40
1992,79.883,.22
1993,81.944,.23
1994,88.608,.31
1995,96.777,.44
1996,100.039,.33
1997,88.369,.46
1998,106.537,.61
1999,91.449,.38
2000,85.399,.39
2001,86.839,.53
2002,90.692,.63
2003,94.581,.62
2004,91.714,.53
2005,110.993,.68
2006,105.896,.64
2007,109.889,.66
2008,111.087,.54
2009,118.856,.66
2010,118.353,.73
2011,125.095,.61
2012,135.674,.65
2013,140.786,.68
2014,151.283,.75
2015,160.087,.90
2016,158.482,1.02
2017,165.09,.92
2018,171.276,.85
2019,178.577,.98
2020,169.893,1.02
2021,180.225,.85
2022,176.345,.90
1880,0.0,-.16
1881,0.0,-.08
1882,0.0,-.11
1883,0.0,-.17
1884,0.0,-.28
1885,0.0,-.33
1886,0.0,-.31
1887,0.0,-.36
1888,0.0,-.17
1889,0.0,-.11
1890,0.0,-.35
1891,0.0,-.23
1892,0.0,-.28
1893,0.0,-.31
1894,0.0,-.30
1895,0.0,-.23
1896,0.0,-.12
1897,0.0,-.11
1898,0.0,-.28
1899,0.0,-.18
1900,0.0,-.09
1901,0.0,-.16
1902,0.0,-.28
1903,0.0,-.37
1904,0.0,-.48
1905,0.0,-.27
1906,0.0,-.23
1907,0.0,-.39
1908,0.0,-.43
1909,0.0,-.49
1910,0.0,-.44
1911,0.0,-.45
1912,0.0,-.37
1913,0.0,-.35
1914,0.0,-.16
1915,0.0,-.14
1916,0.0,-.36
1917,0.0,-.46
1918,0.0,-.30
1919,0.0,-.28
1920,0.0,-.28
1921,0.0,-.19
1922,0.0,-.28
1923,0.0,-.27
1924,0.0,-.27
1925,0.0,-.22
1926,0.0,-.11
1927,0.0,-.22
1928,0.0,-.20
1929,0.0,-.36
1930,0.0,-.16
1931,0.0,-.09
1932,0.0,-.16
1933,0.0,-.29
1934,0.0,-.12
1935,0.0,-.20
1936,0.0,-.15
1937,0.0,-.03
1938,0.0,.00
1939,0.0,-.02
1940,0.0,.12
1941,0.0,.19
1942,0.0,.07
1943,0.0,.09
1944,0.0,.20
1945,0.0,.09
1946,0.0,-.07
1947,0.0,-.03
1948,0.0,-.11
1949,0.0,-.11
1950,0.0,-.17
1951,0.0,-.07
1952,0.0,.01
1953,0.0,.08
1954,0.0,-.13
1955,0.0,-.14
1956,0.0,-.19
1957,0.0,.05
1958,0.0,.06
1959,0.0,.03
1960,0.0,-.03
1961,0.0,.06
1962,0.0,.03
1963,0.0,.05
1964,0.0,-.20
1965,0.0,-.11
1966,0.0,-.06
1967,0.0,-.02
1968,0.0,-.08
1969,0.0,.05
1970,0.0,.03
1971,0.0,-.08
1972,0.0,.01
1973,0.0,.16
1974,0.0,-.07
1975,0.0,-.01
1976,0.0,-.10
1977,0.0,.18
1978,0.0,.07
1979,0.0,.16
1980,0.0,.26
1981,0.0,.32
1982,0.0,.14
1983,0.0,.31
1984,0.0,.16
1985,0.0,.12
1986,0.0,.18
1987,0.0,.32
1988,0.0,.39
1989,0.0,.27
1990,0.407,.45
1991,0.407,.40
1992,0.407,.22
1993,0.41,.23
1994,0.407,.31
1995,0.425,.44
1996,0.454,.33
1997,0.465,.46
1998,0.491,.61
1999,0.513,.38
2000,0.524,.39
2001,0.524,.53
2002,0.531,.63
2003,0.535,.62
2004,0.561,.53
2005,0.575,.68
2006,0.546,.64
2007,0.539,.66
2008,0.539,.54
2009,0.517,.66
2010,0.517,.73
2011,0.491,.61
2012,0.487,.65
2013,0.476,.68
2014,0.462,.75
2015,0.465,.90
2016,0.469,1.02
2017,0.465,.92
2018,0.495,.85
2019,0.484,.98
2020,0.374,1.02
2021,0.363,.85
2022,0.369,.90
1950,0.187,-.17
1951,0.249,-.07
1952,0.311,.01
1953,0.275,.08
1954,0.348,-.13
1955,0.414,-.14
1956,0.502,-.19
1957,0.619,.05
1958,0.593,.06
1959,0.619,.03
1960,0.549,-.03
1961,0.454,.06
1962,1.179,.03
1963,1.15,.05
1964,1.223,-.20
1965,1.186,-.11
1966,1.552,-.06
1967,0.992,-.02
1968,1.67,-.08
1969,2.783,.05
1970,3.578,.03
1971,3.405,-.08
1972,4.501,.01
1973,4.874,.16
1974,4.866,-.07
1975,4.409,-.01
1976,3.28,-.10
1977,3.528,.18
1978,5.4,.07
1979,5.489,.16
1980,5.334,.26
1981,5.267,.32
1982,4.635,.14
1983,5.101,.31
1984,4.986,.16
1985,4.676,.12
1986,4.634,.18
1987,5.786,.32
1988,5.049,.39
1989,4.923,.27
1990,5.09,.45
1991,5.064,.40
1992,5.164,.22
1993,5.748,.23
1994,11.353,.31
1995,12.617,.44
1996,15.249,.33
1997,15.884,.46
1998,16.513,.61
1999,17.261,.38
2000,15.995,.39
2001,15.908,.53
2002,16.08,.63
2003,17.484,.62
2004,17.016,.53
2005,15.387,.68
2006,17.145,.64
2007,17.588,.66
2008,18.75,.54
2009,20.668,.66
2010,22.983,.73
2011,23.397,.61
2012,25.941,.65
2013,25.71,.68
2014,24.768,.75
2015,26.03,.90
2016,23.993,1.02
2017,22.617,.92
2018,21.434,.85
2019,19.222,.98
2020,16.765,1.02
2021,17.506,.85
2022,16.07,.90
1990,0.048,.45
1991,0.048,.40
1992,0.048,.22
1993,0.055,.23
1994,0.055,.31
1995,0.059,.44
1996,0.062,.33
1997,0.062,.46
1998,0.066,.61
1999,0.066,.38
2000,0.077,.39
2001,0.084,.53
2002,0.084,.63
2003,0.088,.62
2004,0.103,.53
2005,0.11,.68
2006,0.121,.64
2007,0.125,.66
2008,0.125,.54
2009,0.125,.66
2010,0.132,.73
2011,0.125,.61
2012,0.121,.65
2013,0.117,.68
2014,0.121,.75
2015,0.139,.90
2016,0.139,1.02
2017,0.128,.92
2018,0.132,.85
2019,0.147,.98
2020,0.143,1.02
2021,0.138,.85
2022,0.139,.90
1987,0.004,.32
1988,0.007,.39
1989,0.007,.27
1990,0.011,.45
1991,0.015,.40
1992,0.015,.22
1993,0.015,.23
1994,0.015,.31
1995,0.004,.44
1996,0.004,.33
1997,0.004,.46
1998,0.004,.61
1999,0.004,.38
2000,0.004,.39
2001,0.004,.53
2002,0.004,.63
2003,0.004,.62
2004,0.007,.53
2005,0.007,.68
2006,0.007,.64
2007,0.011,.66
1957,0.022,.05
1958,0.029,.06
1959,0.029,.03
1960,0.037,-.03
1961,0.048,.06
1962,0.103,.03
1963,0.084,.05
1964,0.092,-.20
1965,0.15,-.11
1966,0.348,-.06
1967,0.564,-.02
1968,0.989,-.08
1969,1.257,.05
1970,0.462,.03
1971,0.425,-.08
1972,0.374,.01
1973,0.33,.16
1974,0.429,-.07
1975,0.707,-.01
1976,0.403,-.10
1977,0.465,.18
1978,0.491,.07
1979,0.407,.16
1980,0.143,.26
1981,0.106,.32
1982,0.293,.14
1983,0.084,.31
1984,0.147,.16
1985,0.249,.12
1986,0.249,.18
1987,0.275,.32
1988,0.286,.39
1989,0.286,.27
1990,0.242,.45
1991,0.249,.40
1992,0.249,.22
1993,0.256,.23
1994,0.267,.31
1995,0.271,.44
1996,0.289,.33
1997,0.311,.46
1998,0.322,.61
1999,0.344,.38
2000,0.355,.39
2001,0.37,.53
2002,0.407,.63
2003,0.429,.62
2004,0.451,.53
2005,0.48,.68
2006,0.517,.64
2007,0.535,.66
2008,0.539,.54
2009,0.557,.66
2010,0.55,.73
2011,0.546,.61
2012,0.557,.65
2013,0.557,.68
2014,0.568,.75
2015,0.583,.90
2016,0.597,1.02
2017,0.605,.92
2018,0.616,.85
2019,0.641,.98
2020,0.619,1.02
2021,0.597,.85
2022,0.602,.90
1887,1.085,-.36
1888,0.89,-.17
1889,1.755,-.11
1890,1.37,-.35
1891,0.938,-.23
1892,1.385,-.28
1893,1.554,-.31
1894,1.993,-.30
1895,2.264,-.23
1896,2.305,-.12
1897,2.081,-.11
1898,2.349,-.28
1899,2.92,-.18
1900,2.07,-.09
1901,2.492,-.16
1902,2.814,-.28
1903,2.862,-.37
1904,3.796,-.48
1905,3.983,-.27
1906,6.254,-.23
1907,6.254,-.39
1908,7.617,-.43
1909,5.936,-.49
1910,8.907,-.44
1911,9.944,-.45
1912,9.479,-.37
1913,10.146,-.35
1914,8.673,-.16
1915,6.94,-.14
1916,4.987,-.36
1917,2.231,-.46
1918,2.521,-.30
1919,3.726,-.28
1920,5.892,-.28
1921,5.54,-.19
1922,7.299,-.28
1923,8.446,-.27
1924,10.959,-.27
1925,11.237,-.22
1926,11.259,-.11
1927,13.374,-.22
1928,12.739,-.20
1929,13.13,-.36
1930,12.767,-.16
1931,12.844,-.09
1932,13.1,-.16
1933,13.232,-.29
1934,14.24,-.12
1935,13.997,-.20
1936,15.096,-.15
1937,16.711,-.03
1938,16.347,.00
1939,17.377,-.02
1940,15.864,.12
1941,13.94,.19
1942,13.479,.07
1943,14.077,.09
1944,13.952,.20
1945,13.666,.09
1946,13.702,-.07
1947,14.515,-.03
1948,17.392,-.11
1949,15.365,-.11
1950,29.921,-.17
1951,34.963,-.07
1952,36.095,.01
1953,35.135,.08
1954,36.75,-.13
1955,39.56,-.14
1956,44.297,-.19
1957,47.608,.05
1958,44.193,.06
1959,48.949,.03
1960,48.764,-.03
1961,51.127,.06
1962,53.64,.03
1963,50.033,.05
1964,55.67,-.20
1965,58.805,-.11
1966,63.073,-.06
1967,65.476,-.02
1968,69.009,-.08
1969,77.249,.05
1970,82.648,.03
1971,88.847,-.08
1972,90.067,.01
1973,93.976,.16
1974,95.48,-.07
1975,94.845,-.01
1976,99.699,-.10
1977,100.706,.18
1978,102.556,.07
1979,110.616,.16
1980,108.656,.26
1981,101.969,.32
1982,103.351,.14
1983,105.142,.31
1984,106.452,.16
1985,100.531,.12
1986,104.15,.18
1987,114.877,.32
1988,121.405,.39
1989,117.02,.27
1990,112.079,.45
1991,117.506,.40
1992,121.231,.22
1993,117.777,.23
1994,118.469,.31
1995,125.24,.44
1996,131.135,.33
1997,136.524,.46
1998,139.005,.61
1999,147.674,.38
2000,142.765,.39
2001,134.422,.53
2002,124.455,.63
2003,133.994,.62
2004,156.712,.53
2005,161.189,.68
2006,174.21,.64
2007,173.482,.66
2008,187.243,.54
2009,178.111,.66
2010,185.854,.73
2011,189.676,.61
2012,191.292,.65
2013,189.538,.68
2014,188.397,.75
2015,191.744,.90
2016,189.92,1.02
2017,186.899,.92
2018,180.599,.85
2019,178.512,.98
2020,166.88,1.02
2021,189.744,.85
2022,192.864,.90
1880,0.031,-.16
1881,0.033,-.08
1882,0.034,-.11
1883,0.039,-.17
1884,0.04,-.28
1885,0.043,-.33
1886,0.044,-.31
1887,0.047,-.36
1888,0.049,-.17
1889,0.053,-.11
1890,0.06,-.35
1891,0.066,-.23
1892,0.07,-.28
1893,0.082,-.31
1894,0.083,-.30
1895,0.096,-.23
1896,0.097,-.12
1897,0.113,-.11
1898,0.126,-.28
1899,0.147,-.18
1900,0.166,-.09
1901,0.17,-.16
1902,0.165,-.28
1903,0.161,-.37
1904,0.179,-.48
1905,0.16,-.27
1906,0.182,-.23
1907,0.204,-.39
1908,0.206,-.43
1909,0.217,-.49
1910,0.213,-.44
1911,0.221,-.45
1912,0.25,-.37
1913,0.272,-.35
1914,0.245,-.16
1915,0.225,-.14
1916,0.24,-.36
1917,0.221,-.46
1918,0.088,-.30
1919,0.075,-.28
1920,0.069,-.28
1921,0.074,-.19
1922,0.091,-.28
1923,0.1,-.27
1924,0.119,-.27
1925,0.118,-.22
1926,0.171,-.11
1927,0.212,-.22
1928,0.233,-.20
1929,0.251,-.36
1930,0.343,-.16
1931,0.412,-.09
1932,0.463,-.16
1933,0.519,-.29
1934,0.627,-.12
1935,0.708,-.20
1936,0.811,-.15
1937,0.83,-.03
1938,0.876,.00
1939,0.887,-.02
1940,1.064,.12
1941,0.934,.19
1942,0.513,.07
1943,0.535,.09
1944,0.776,.20
1945,0.818,.09
1946,0.917,-.07
1947,1.102,-.03
1948,1.171,-.11
1949,1.33,-.11
1950,1.48,-.17
1951,1.603,-.07
1952,1.716,.01
1953,1.815,.08
1954,1.98,-.13
1955,2.245,-.14
1956,2.464,-.19
1957,2.697,.05
1958,2.881,.06
1959,3.029,.03
1960,3.154,-.03
1961,3.256,.06
1962,3.423,.03
1963,3.675,.05
1964,3.913,-.20
1965,4.153,-.11
1966,4.387,-.06
1967,4.593,-.02
1968,4.727,-.08
1969,4.927,.05
1970,5.181,.03
1971,5.508,-.08
1972,5.802,.01
1973,6.056,.16
1974,6.295,-.07
1975,6.625,-.01
1976,6.882,-.10
1977,7.119,.18
1978,7.368,.07
1979,7.429,.16
1980,7.72,.26
1981,7.586,.32
1982,7.73,.14
1983,7.846,.31
1984,7.92,.16
1985,8.534,.12
1986,8.064,.18
1987,8.19,.32
1988,9.29,.39
1989,9.462,.27
1990,8.948,.45
1991,7.308,.40
1992,5.724,.22
1993,2.51,.23
1994,2.685,.31
1995,3.363,.44
1996,2.5,.33
1997,3.253,.46
1998,3.419,.61
1999,3.04,.38
2000,3.491,.39
2001,3.533,.53
2002,3.077,.63
2003,3.456,.62
2004,3.691,.53
2005,4.376,.68
2006,4.402,.64
2007,5.1,.66
2008,5.575,.54
2009,4.363,.66
2010,4.253,.73
2011,4.969,.61
2012,5.748,.65
2013,5.535,.68
2014,5.604,.75
2015,5.469,.90
2016,5.203,1.02
2017,5.54,.92
2018,5.826,.85
2019,6.284,.98
2020,6.799,1.02
2021,7.064,.85
2022,6.408,.90
1926,0.033,-.11
1927,0.036,-.22
1928,0.083,-.20
1929,0.103,-.36
1930,0.135,-.16
1931,0.112,-.09
1932,0.109,-.16
1933,0.117,-.29
1934,0.129,-.12
1935,0.145,-.20
1936,0.158,-.15
1937,0.184,-.03
1938,0.199,.00
1939,0.186,-.02
1940,0.15,.12
1941,0.183,.19
1942,0.107,.07
1943,0.173,.09
1944,0.216,.20
1945,0.251,.09
1946,0.282,-.07
1947,0.319,-.03
1948,0.327,-.11
1949,0.0,-.11
1950,0.41,-.17
1951,0.646,-.07
1952,0.373,.01
1953,0.432,.08
1954,0.873,-.13
1955,0.722,-.14
1956,0.934,-.19
1957,0.638,.05
1958,0.559,.06
1959,0.719,.03
1960,0.619,-.03
1961,0.646,.06
1962,0.709,.03
1963,0.679,.05
1964,0.66,-.20
1965,0.592,-.11
1966,0.554,-.06
1967,0.682,-.02
1968,0.635,-.08
1969,0.83,.05
1970,0.929,.03
1971,0.808,-.08
1972,0.784,.01
1973,0.869,.16
1974,0.788,-.07
1975,0.571,-.01
1976,1.219,-.10
1977,0.637,.18
1978,0.542,.07
1979,0.569,.16
1980,0.585,.26
1981,0.558,.32
1982,0.623,.14
1983,0.32,.31
1984,0.8,.16
1985,0.937,.12
1986,0.18,.18
1987,0.447,.32
1988,0.612,.39
1989,0.649,.27
1990,0.487,.45
1991,0.531,.40
1992,0.539,.22
1993,0.649,.23
1994,0.66,.31
1995,0.707,.44
1996,0.725,.33
1997,0.758,.46
1998,0.806,.61
1999,0.81,.38
2000,2.378,.39
2001,2.407,.53
2002,2.437,.63
2003,2.561,.62
2004,2.616,.53
2005,2.719,.68
2006,2.715,.64
2007,2.821,.66
2008,2.656,.54
2009,2.627,.66
2010,2.506,.73
2011,2.499,.61
2012,1.348,.65
2013,0.861,.68
2014,0.872,.75
2015,0.898,.90
2016,0.883,1.02
2017,0.89,.92
2018,0.872,.85
2019,0.89,.98
2020,0.89,1.02
2021,0.858,.85
2022,0.866,.90
1880,6.189,-.16
1881,6.348,-.08
1882,6.877,-.11
1883,7.605,-.17
1884,8.189,-.28
1885,8.536,-.33
1886,9.112,-.31
1887,10.535,-.36
1888,11.715,-.17
1889,13.781,-.11
1890,15.085,-.35
1891,17.201,-.23
1892,18.273,-.28
1893,20.411,-.31
1894,22.746,-.30
1895,26.302,-.23
1896,28.028,-.12
1897,30.485,-.11
1898,36.486,-.28
1899,38.645,-.18
1900,43.998,-.09
1901,50.359,-.16
1902,52.401,-.28
1903,55.057,-.37
1904,61.901,-.48
1905,62.997,-.27
1906,70.276,-.23
1907,97.19,-.39
1908,105.978,-.43
1909,109.197,-.49
1910,110.769,-.44
1911,117.75,-.45
1912,119.763,-.37
1913,137.351,-.35
1914,142.862,-.16
1915,136.647,-.14
1916,149.888,-.36
1917,161.984,-.46
1918,166.873,-.30
1919,183.557,-.28
1920,175.427,-.28
1921,171.795,-.19
1922,181.276,-.28
1923,199.207,-.27
1924,213.277,-.27
1925,215.442,-.22
1926,218.809,-.11
1927,236.792,-.22
1928,248.392,-.20
1929,258.343,-.36
1930,257.919,-.16
1931,248.672,-.09
1932,248.758,-.16
1933,273.054,-.29
1934,309.596,-.12
1935,337.247,-.20
1936,364.124,-.15
1937,385.462,-.03
1938,394.693,.00
1939,418.811,-.02
